layer_name,weight_shape,total_params,zero_params,sparsity
conv1,"[64, 3, 7, 7]",9408,249,0.02646683673469388
layer1.0.conv1,"[64, 64, 3, 3]",36864,2074,0.05626085069444445
layer1.0.conv2,"[64, 64, 3, 3]",36864,758,0.020562065972222224
layer1.1.conv1,"[64, 64, 3, 3]",36864,1074,0.029134114583333332
layer1.1.conv2,"[64, 64, 3, 3]",36864,1072,0.029079861111111112
layer2.0.conv1,"[128, 64, 3, 3]",73728,1549,0.021009657118055556
layer2.0.conv2,"[128, 128, 3, 3]",147456,4048,0.027452256944444444
layer2.0.downsample.0,"[128, 64, 1, 1]",8192,91,0.0111083984375
layer2.1.conv1,"[128, 128, 3, 3]",147456,5456,0.03700086805555555
layer2.1.conv2,"[128, 128, 3, 3]",147456,6764,0.04587131076388889
layer3.0.conv1,"[256, 128, 3, 3]",294912,13041,0.044219970703125
layer3.0.conv2,"[256, 256, 3, 3]",589824,125578,0.21290757921006945
layer3.0.downsample.0,"[256, 128, 1, 1]",32768,1248,0.0380859375
layer3.1.conv1,"[256, 256, 3, 3]",589824,332652,0.5639851888020834
layer3.1.conv2,"[256, 256, 3, 3]",589824,356125,0.6037818060980903
layer4.0.conv1,"[512, 256, 3, 3]",1179648,729161,0.618117438422309
layer4.0.conv2,"[512, 512, 3, 3]",2359296,2014297,0.8537703620062934
layer4.0.downsample.0,"[512, 256, 1, 1]",131072,21785,0.16620635986328125
layer4.1.conv1,"[512, 512, 3, 3]",2359296,2105833,0.89256837632921
layer4.1.conv2,"[512, 512, 3, 3]",2359296,2097456,0.8890177408854166
fc,"[10, 512]",5120,111,0.0216796875
